,Unnamed: 0,agent_firm_name,case_status,class_of_admission,country_of_citizenship,employer_city,employer_decl_info_title,employer_name,employer_num_employees,employer_state,foreign_worker_info_education,foreign_worker_info_inst,foreign_worker_info_major,foreign_worker_info_state,pw_level_9089,pw_soc_title,wage_offer_from_9089
0,0,Reinhart Boerner Van Deuren s.c.,Certified,H-1B,INDIA,WAUKESHA,vp,GENERAC POWER SYSTEMS,1935.0,WISCONSIN,Bachelor's,UNIVERSITY OF KERALA,MECHANICAL ENGINEERING,WISCONSIN,4,Industrial Engineers,90000.0
1,1,Law Office of Jonathan Chin,Denied,H-1B,GERMANY,AURORA,chief,"AVIDITY, LLC",4.0,COLORADO,Doctorate,CHRISTIAN ALBRECHTS UNIVERSITY OF KIEL,MOLECULAR BIOLOGY,COLORADO,1,"Biological Scientists, All Other",65000.0
2,2,Cumming & Partners,Certified,H-1B,CANADA,NEW YORK,managing,TALBERT & TALBERT LLC,3.0,NEW YORK,Bachelor's,THE UNIVERSITY OF WESTERN ONTARIO,MEDIA STUDIES,NEW YORK,2,Public Relations Specialists,55700.0
3,3,"Law Offices of Kendra S. Elliott, Esq.",Certified,H-1B,BRAZIL,GALENA PARK,manager,"GREEN EARTH FUELS OF HOUSTON, LLC.",36.0,TEXAS,Bachelor's,CENTRO UNIVERSITARIO DE CIDADE -  UNIVERCIDADE,MARKETING,TEXAS,2,Market Research Analysts and Marketing Specialists*,53560.0
4,4,"Law Office of Thomas V. Allen, PLLC",Certified,H-1B,INDIA,FEDERAL WAY,general,APPLEXUS TECHNOLOGIES LLC,36.0,WASHINGTON,Bachelor's,MOHAMED SATHAK ENGINEERING COLLEGE (ANNA UNIVERSITY),ENGINEERING,NEW JERSEY,3,"Software Developers, Applications",99424.0
5,5,Litwin & Associates,Certified,H-1B,CHINA,MILPITAS,chief,"ARRAY NETWORKS, INC.",50.0,CALIFORNIA,Master's,SYRACUSE UNIVERSITY,COMPUTER SCIENCE,CALIFORNIA,2,"Software Developers, Applications",98675.0
6,6,Berry Appleman & Leiden LLP,Certified,H-1B,INDIA,DALLAS,representative,"HUNT CONSOLIDATED, INC.",600.0,TEXAS,Master's,THE UNIVERSITY OF TEXAS AT DALLAS,COMPUTER SCIENCE,TEXAS,2,Computer Systems Analysts,69600.0
7,7,Armstrong Teasdale LLP,Certified,H-1B,CHINA,CHESTERFIELD,executive,RGA REINSURANCE,920.0,MISSOURI,Master's,FINANCE,WASHINGTON UNIVERSITY IN ST. LOUIS,MISSOURI,2,Financial Analysts,75000.0
8,8,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,GUATEMALA,GLENNVILLE,general,"BLAND FARMS, LLC",776.0,GEORGIA,Bachelor's,EARTH UNIVERISTY,AGRICULTURAL ENGINEERING,GEORGIA,1,"Farmers, Ranchers, and Other Agricultural Managers",55000.0
9,9,"FRAGOMEN, DEL REY, BERNSEN & LOEWY, LLP",Certified,H-1B,CHINA,PHILADELPHIA,immigration,TOWERS WATSON PENNSYLVANIA INC.,3000.0,PENNSYLVANIA,Master's,GEORGIA STATE UNIVERSITY,ACTUARIAL SCIENCE,ILLINOIS,1,Financial Analysts,97850.0
10,10,"BBI LAW GROUP, P.C.",Certified,H-1B,INDIA,RALEIGH,president,"SMART SWITCH, LLC",9.0,NORTH CAROLINA,Master's,OSMANIA UNIVERSITY,COMPUTER APPLICATIONS,GEORGIA,3,"Software Developers, Applications",90813.0
11,11,Garfinkel Immigration Law Firm,Certified,H-1B,CHINA,RALEIGH,director,MEREDITH COLLEGE,498.0,NORTH CAROLINA,Master's,UNIVERSITY OF VIRGINIA,EDUCATIONAL PSYCHOLOGY  (SEE SECTION H.14),MINNESOTA,1,Operations Research Analysts,39312.0
12,12,Hammond Law Group,Certified,H-1B,INDIA,IRVING,director,PERITUS INC,60.0,TEXAS,Master's,BHARATHIDASAN UNIVERSITY,COMPUTER APPLICATIONS,FLORIDA,4,Database Administrators,88005.0
13,13,Nair Law Group,Certified,H-1B,INDIA,ISELIN,president,VST CONSULTING INC,77.0,NEW JERSEY,Master's,UNIVERSITY OF BRIDGEPORT,ENGINEERING,WISCONSIN,3,"Software Developers, Applications",90459.0
14,14,Dykema,Certified,H-1B,JAPAN,GROVE CITY,president,"HOKUTO USA, INC.",30.0,OHIO,Bachelor's,UNIVERSITY OF KANSAS,AEROSPACE ENGINEERING,OHIO,2,Sales Engineers,67000.0
15,15,"Morgan, Lewis & Bockius LLP",Certified,H-1B,INDIA,WEST DES MOINES,analyst,EXELON WIND LLC,46.0,IOWA,Bachelor's,G.H. RAISONI COLLEGE OF ENGINEERING,ELECTRICAL ENGINEERING,IOWA,2,Industrial Engineers,64813.0
16,16,Berry Appleman & Leiden LLP,Certified,H-1B,JAPAN,MOUNTAIN VIEW,manager,LINKEDIN CORPORATION,4900.0,CALIFORNIA,Master's,STANFORD UNIVERSITY,COMPUTER SCIENCE,CALIFORNIA,2,"Software Developers, Applications",120000.0
17,17,"Klasko, Rulon, Stock & Seltzer, LLP",Certified,H-1B,UKRAINE,PHILADELPHIA,administrator,"COMCAST CABLE COMMUNICATIONS, LLC",129000.0,PENNSYLVANIA,Master's,ODESSA NATIONAL POLYTECHNIC UNIVERSITY,COMPUTER SCIENCE,PENNSYLVANIA,1,"Software Developers, Applications",69493.0
18,18,"FRAGOMEN, DEL REY, BERNSEN & LOEWY, LLP",Certified,H-1B,INDIA,SAN DIEGO,specialist,"OMNITRACS, INC.",426.0,CALIFORNIA,Master's,SAN DIEGO STATE UNIVERSITY,COMPUTER SCIENCE,CALIFORNIA,2,Computer Systems Analysts,78478.4
19,19,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,CHINA,SAN DIEGO,specialist,QUALCOMM TECHNOLOGIES INC.,31000.0,CALIFORNIA,Master's,ZHEJIANG UNIVERSITY,COMPUTER SCIENCE AND TECHNOLOGY,CALIFORNIA,2,"Electronics Engineers, Except Computer",110676.8
20,20,"Kramer & Alfano, PC",Certified,H-1B,SOUTH KOREA,AUGUSTA,others,BOR USGA OBO GEORGIA REGENTS UNIVERSITY,6000.0,GEORGIA,Doctorate,KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY,BUSINESS/MANAGEMENT ENGINEERING/ACCOUNTING AND FINANCE,GEORGIA,2,"Business Teachers, Postsecondary",92500.0
21,21,Law Offices of Mahesh Bajoria,Certified,H-1B,INDIA,SUNNYVALE,director,HORIZON TECHNOLOGIES INC,217.0,CALIFORNIA,Master's,UNIVERSITY OF BRIDGEPORT,ELECTRICAL ENGINEERING,ALABAMA,3,Computer Systems Analysts,99653.0
22,22,"Willcox & Savage, P.C.",Certified,H-1B,INDIA,NORFOLK,director,"DOMINION DMS, LLC",85.0,VIRGINIA,Bachelor's,KAKATIYA UNIVERSITY,BUSINESS ADMINISTRATION (INDIAN MASTER'S DEGREE),MICHIGAN,4,"Software Developers, Applications",92206.0
23,23,Jackson & Hertogs LLP,Certified,H-1B,INDIA,PLEASANTON,analyst,"BLACKHAWK NETWORK, INC.",1072.0,CALIFORNIA,Master's,NATIONAL UNIVERSITY,WIRELESS COMMUNICATIONS,CALIFORNIA,2,"Software Developers, Applications",119000.0
24,24,Law Offices of Weicheng Wang,Certified,H-1B,INDIA,EDISON,vp,"JM INFORMATION SYSTEMS,LLC",4.0,NEW JERSEY,Bachelor's,SRI VENKATESWARA UNIVERSITY COLLEGE OF ENGINEERING,ELECTRONICS AND COMMUNICATION ENGINEERING,CALIFORNIA,3,"Software Developers, Applications",90459.0
25,25,"Fragomen, Del Rey, Bernsen & Loewy LLP",Certified,H-1B,INDIA,NEW YORK,vp,CREDIT SUISSE SECURITIES (USA) LLC,47400.0,NEW YORK,Master's,ILLINOIS STATE UNIVERSITY,INFORMATION SYSTEMS,NORTH CAROLINA,2,"Software Developers, Applications",76170.0
26,26,"Fragomen, Del Rey, Bernsen & Loewy LLP",Certified,H-1B,PHILIPPINES,NEW YORK,general,ALLEN & COMPANY LLC,170.0,NEW YORK,Master's,CARNEGIE MELLON UNIVERSITY,INFORMATION SYSTEMS MANAGEMENT (MISM),NEW YORK,2,Computer Programmers,120000.0
27,27,Berry Appleman & Leiden LLP,Certified,H-1B,INDIA,REDWOOD SHORES,specialist,"ORACLE AMERICA, INC.",42000.0,CALIFORNIA,Bachelor's,UNIVERSITY OF DELHI,COMPUTER SCIENCE,CALIFORNIA,4,"Software Developers, Applications",130000.0
28,28,Berry Appleman & Leiden LLP,Certified,H-1B,CHINA,REDWOOD SHORES,specialist,"ORACLE AMERICA, INC.",115000.0,CALIFORNIA,Master's,CARNEGIE MELLON UNIVERSITY,INFORMATION TECHNOLOGY,CALIFORNIA,2,"Software Developers, Systems Software",102000.0
29,29,Gordon Law Group PC,Certified,H-1B,CHINA,AUSTIN,ceo,"INSIDERSREFERRAL.COM, INC.",27.0,TEXAS,Bachelor's,SHANGHAI JIAO TONG UNIVERSITY,INDUSTRIAL ENGINEERING,TEXAS,1,Market Research Analysts and Marketing Specialists*,150000.0
30,30,Seyfarth Shaw LLP,Certified,H-1B,CHINA,NEW YORK,managing,FORTRESS INVESTMENT GROUP LLC,845.0,NEW YORK,Master's,"THE BERNARD M. BARUCH COLLEGE, THE CITY UNIVERSITY OF NEW YORK",ACCOUNTING,NEW YORK,4,Accountants and Auditors,109554.0
31,31,Curran & Berger LLP,Certified,H-1B,INDIA,FLORHAM PARK,director,STORCH NUTRITIONAL MEDICINE ASSOCIATES,5.0,NEW JERSEY,Other,MAHARASHTRA UNIVERSITY OF HEALTH SCIENCES,MEDICINE,PENNSYLVANIA,2,"Internists, General",162739.0
32,32,,Certified,H-1B,INDIA,FREMONT,president,DGN TECHNOLOGIES INC.,150.0,CALIFORNIA,Bachelor's,BIT SINDRI (VINOBA BHAVE UNIVERSITY),ENGINEERING,CALIFORNIA,4,"Software Developers, Applications",126048.0
33,33,SilzerLaw Chartered,Denied,H-1B,CANADA,SCOTTSDALE,others,"PRECO, INC.",14.0,ARIZONA,Other,DAWSON COLLEGE,ELECTROTECHNOLOGY,FLORIDA,4,Sales Managers,170000.0
34,34,Berry Appleman & Leiden LLP,Certified,H-1B,INDIA,REDWOOD SHORES,specialist,"ORACLE AMERICA, INC.",115000.0,CALIFORNIA,Master's,"NATIONAL INSTITUTE OF TECHNOLOGY KARNATAKA, SURATHKAL",COMPUTER SCIENCE AND ENGINEERING,CALIFORNIA,4,"Software Developers, Systems Software",129022.0
35,35,"FRAGOMEN, DEL REY, BERNSEN & LOEWY, LLP",Certified,H-1B,INDIA,CAMBRIDGE,others,PEGASYSTEMS INC.,2200.0,MASSACHUSETTS,Master's,VILLANOVA UNIVERSITY,COMPUTER SCIENCE,NEW HAMPSHIRE,4,Computer Systems Analysts,95046.94
36,36,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,INDIA,HOFFMAN ESTATES,specialist,SEARS HOLDINGS MANAGEMENT CORPORATION,5729.0,ILLINOIS,Master's,UNIVERSITY OF BRIDGEPORT,ELECTRICAL ENGINEERING,ILLINOIS,4,"Software Developers, Applications",110000.0
37,37,John F. Finnell Attorney at Law,Certified,H-1B,JAPAN,NEW YORK,president,"THE SAKE CLUB, INC.",64.0,NEW YORK,Bachelor's,NIHON FUKUSHI UNIVERSITY,ECONOMICS,NEW YORK,2,Market Research Analysts and Marketing Specialists*,60445.0
38,38,"Fragomen, Del Rey, Bernsen & Loewy, LLP",Certified,H-1B,INDIA,REDMOND,attorney,MICROSOFT CORPORATION,58000.0,WASHINGTON,Master's,THE UNIVERSITY OF GEORGIA,ARTIFICIAL INTELLIGENCE (COMPUTER SCIENCE RELATED),WASHINGTON,2,"Software Developers, Applications",108680.0
39,39,,Denied,H-1B,INDIA,RTP,manager,IBM CORPORATION,307400.0,NORTH CAROLINA,Bachelor's,UNIVERSITY OF BOMBAY,BUSINESS ADMINISTRATION,TEXAS,1,"Computer Software Engineers, Applications",60424.0
40,40,,Certified,H-1B,INDIA,FREMONT,president,DGN TECHNOLOGIES INC.,150.0,CALIFORNIA,Bachelor's,GULBURGA UNIVERSITY,ENGINEERING,FLORIDA,4,"Software Developers, Applications",126048.0
