,add_these_pw_job_title_9089,agent_city,agent_firm_name,agent_state,application_type,case_no,case_number,case_received_date,case_status,class_of_admission,country_of_citizenship,country_of_citzenship,decision_date,employer_address_1,employer_address_2,employer_city,employer_country,employer_decl_info_title,employer_name,employer_num_employees,employer_phone,employer_phone_ext,employer_postal_code,employer_state,employer_yr_estab,foreign_worker_info_alt_edu_experience,foreign_worker_info_birth_country,foreign_worker_info_city,foreign_worker_info_education,foreign_worker_info_education_other,foreign_worker_info_inst,foreign_worker_info_major,foreign_worker_info_postal_code,foreign_worker_info_rel_occup_exp,foreign_worker_info_req_experience,foreign_worker_info_state,foreign_worker_info_training_comp,foreign_worker_ownership_interest,foreign_worker_yr_rel_edu_completed,fw_info_alt_edu_experience,fw_info_birth_country,fw_info_education_other,fw_info_postal_code,fw_info_rel_occup_exp,fw_info_req_experience,fw_info_training_comp,fw_info_yr_rel_edu_completed,fw_ownership_interest,ji_foreign_worker_live_on_premises,ji_fw_live_on_premises,ji_live_in_dom_svc_contract,ji_live_in_domestic_service,ji_offered_to_sec_j_foreign_worker,ji_offered_to_sec_j_fw,job_info_alt_cmb_ed_oth_yrs,job_info_alt_combo_ed,job_info_alt_combo_ed_exp,job_info_alt_combo_ed_other,job_info_alt_field,job_info_alt_field_name,job_info_alt_occ,job_info_alt_occ_job_title,job_info_alt_occ_num_months,job_info_combo_occupation,job_info_education,job_info_education_other,job_info_experience,job_info_experience_num_months,job_info_foreign_ed,job_info_foreign_lang_req,job_info_job_req_normal,job_info_job_title,job_info_major,job_info_training,job_info_training_field,job_info_training_num_months,job_info_work_city,job_info_work_postal_code,job_info_work_state,naics_2007_us_code,naics_2007_us_title,naics_code,naics_title,naics_us_code,naics_us_code_2007,naics_us_title,naics_us_title_2007,orig_case_no,orig_file_date,preparer_info_emp_completed,preparer_info_title,pw_amount_9089,pw_determ_date,pw_expire_date,pw_job_title_908,pw_job_title_9089,pw_level_9089,pw_soc_code,pw_soc_title,pw_source_name_9089,pw_source_name_other_9089,pw_track_num,pw_unit_of_pay_9089,rec_info_barg_rep_notified,recr_info_barg_rep_notified,recr_info_coll_teach_comp_proc,recr_info_coll_univ_teacher,recr_info_employer_rec_payment,recr_info_first_ad_start,recr_info_job_fair_from,recr_info_job_fair_to,recr_info_on_campus_recr_from,recr_info_on_campus_recr_to,recr_info_pro_org_advert_from,recr_info_pro_org_advert_to,recr_info_prof_org_advert_from,recr_info_prof_org_advert_to,recr_info_professional_occ,recr_info_radio_tv_ad_from,recr_info_radio_tv_ad_to,recr_info_second_ad_start,recr_info_sunday_newspaper,recr_info_swa_job_order_end,recr_info_swa_job_order_start,refile,ri_1st_ad_newspaper_name,ri_2nd_ad_newspaper_name,ri_2nd_ad_newspaper_or_journal,ri_campus_placement_from,ri_campus_placement_to,ri_coll_tch_basic_process,ri_coll_teach_pro_jnl,ri_coll_teach_select_date,ri_employee_referral_prog_from,ri_employee_referral_prog_to,ri_employer_web_post_from,ri_employer_web_post_to,ri_job_search_website_from,ri_job_search_website_to,ri_layoff_in_past_six_months,ri_local_ethnic_paper_from,ri_local_ethnic_paper_to,ri_posted_notice_at_worksite,ri_pvt_employment_firm_from,ri_pvt_employment_firm_to,ri_us_workers_considered,schd_a_sheepherder,us_economic_sector,wage_offer_from_9089,wage_offer_to_9089,wage_offer_unit_of_pay_9089,wage_offered_from_9089,wage_offered_to_9089,wage_offered_unit_of_pay_9089
0,,,,,PERM,A-07323-97014,,,Certified,J-1,,ARMENIA,2012-02-01,24 WEST 25 STREET,5TH FLOOR,NEW YORK,,,NETSOFT USA INC.,,,,10010.0,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,,NY,541512,Computer Systems Design Services,,,,,,,,,,,75629.0,,,,"Computer Software Engineers, Applications",Level II,15-1031.00,"Computer Software Engineers, Applications",OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IT,75629.0,,yr,,,
1,,,,,PERM,A-07332-99439,,,Denied,B-2,,POLAND,2011-12-21,200 BROAD STREET,,CARLSTADT,,,PINNACLE ENVIRONEMNTAL CORP,,,,7072.0,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,,NY,562211,Hazardous Waste Treatment and Disposal,,,,,,,,,,,37024.0,,,,ASBESTOS HANDLER,Level I,47-4041.00,Hazardous Materials Removal Workers,OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Economic Sector,37024.0,,yr,,,
2,,,,,PERM,A-07333-99643,,,Certified,H-1B,,INDIA,2011-12-01,1054 TECHNOLOGY PARK DRIVE,,GLEN ALLEN,,,"SCHNABEL ENGINEERING, INC.",,,,23059.0,VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lutherville,,MD,541330,Engineering Services,,,,,,,,,,,47923.0,,,,Civil Engineer,Level I,17-2051.00,Civil Engineers,OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aerospace,47923.0,,yr,,,
3,,,,,PERM,A-07339-01930,,,Certified,B-2,,SOUTH KOREA,2011-12-01,33-17 PRINCE ST. 2ND FL,,FLUSHING,,,EBENEZER MISSION CHURCH,,,,11354.0,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flushing,,NY,813110,Religious Organizations,,,,,,,,,,,10.97,,,,File Clerk,Level II,43-4071.00,File Clerks,OES,,,hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Economic Sector,10.97,,hr,,,
4,,,,,PERM,A-07345-03565,,,Certified,L-1,,CANADA,2012-01-26,1373 BROADWAY,,ALBANY,,,ALBANY INTERNATIONAL CORP.,,,,12204.0,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Albany,,NY,333291,Paper Industry Machinery Manufacturing,,,,,,,,,,,94890.0,,,,Sales & Service Engineer,Level IV,41-9031.00,Sales Engineers,OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced Mfg,100000.0,,yr,,,
5,,,,,PERM,A-07352-06288,,,Denied,EWI,,ECUADOR,2012-01-26,200 BROAD STREET,,CARLSTADT,,,PINNACLE ENVIRONEMNTAL CORP,,,,7072.0,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York,,NY,562910,Remediation Services,,,,,,,,,,,37024.0,,,,hazardous materials removal worker,Level I,47-4041.00,Hazardous Materials Removal Workers,OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Economic Sector,37024.0,,yr,,,
6,,,,,PERM,A-07354-06926,,,Certified-Expired,H-1B,,MEXICO,2011-10-07,285 PAWLING AVE,,TROY,,,EMMA WILLARD SCHOOL,,,,12180.0,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Troy,,NY,611110,Elementary and Secondary Schools,,,,,,,,,,,47083.33,,,,"Secondary School Teachers, Except Special and Vocational Education",Level II,25-2031.00,"Secondary School Teachers, Except Special and Vocational Education",OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Educational Services,47084.0,52000.0,yr,,,
7,,,,,PERM,A-08004-10147,,,Denied,E-2,,CANADA,2012-02-06,1831 -  A    BLOUNT ROAD,,POMPANO BEACH,,,FDS  ALUMINUM  LLC,,,,33069.0,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POMPANO BEACH,,FL,331312,Primary Aluminum Production,,,,,,,,,,,36733.0,,,,COST ESTIMATOR,Level I,13-1051.00,Cost Estimators,OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced Mfg,36733.0,,yr,,,
8,,,,,PERM,A-08004-10184,,,Certified,H-1B,,CANADA,2012-02-29,2711 CENTERVILLE ROAD,,WILMINGTON,,,ELECTRONIC DATA SYSTEMS CORPORATION,,,,19808.0,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fort Worth,,TX,541511,Custom Computer Programming Services,,,,,,,,,,,44824.0,,,,Computer Systems Analysts,Level I,15-1051.00,Computer Systems Analysts,OES,,,yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IT,44824.0,85000.0,yr,,,
9,,,,,PERM,A-08010-11785,,,Denied,E-2,,PAKISTAN,2012-03-30,3180 FULTON STREET,,BROOKLYN,,,"AMER BROTHERS INTERNATIONAL, INC.",,,,11208.0,NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn,,NY,452990,All Other General Merchandise Stores,,,,,,,,,,,12.86,,,,Supervisor/Manager,Level I,41-1011.00,First-Line Supervisors/Managers of Retail Sales Workers,OES,,,hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retail,12.86,16.82,hr,,,
